From,To,Fare
Demra Staff Quarter,Mouchak,33
Demra Staff Quarter,Nabinagar,110
Demra Staff Quarter,Rampura,26
Demra Staff Quarter,Rampura (Bonshree),20
Demra Staff Quarter,Savar,80
Demra Staff Quarter,Science Lab,44
Demra Staff Quarter,Shahbag,15
Demra Staff Quarter,Shahbagh,39
Demra Staff Quarter,Tikatuli,10
Demra Staff Quarter,Town Hall,28
Dhaka City College,Azimpur,10
Dhaka City College,Dhanmondi-15,10
Dhaka City College,Dhopekhola,20
Dhaka City College,Ghatachar,23
Dhaka City College,Jigatola,10
Dhaka City College,Mohammadpur,10
Dhaka City College,New Market,10
Dhaka City College,Nilkhet,10
Dhaka City College,Science Lab,10
Dhaka City College,Shankor,10
Dhakeshwari Etimkhana,Azampur,50
Dhakeshwari Etimkhana,City College,10
Dhakeshwari Etimkhana,Farmgate,40
Dhakeshwari Etimkhana,Manik Mia,16
Dhakeshwari Etimkhana,Mohakhali,40
Dhakeshwari Etimkhana,Nilkhet,10
Dhakeshwari Etimkhana,Tongi,69
Dhamrai,Asadgate,80
Dhamrai,Azimpur,89
Dhamrai,Chankharpul,99
Dhamrai,Farmgate,70
Dhamrai,Fulbaria,103
Dhamrai,Gabtoli,74
Dhamrai,Gulistan,80
Dhamrai,Hemayetpur,59
Dhamrai,Kamlapur,10
Dhamrai,Nabinagar,20
Dhamrai,Press Club,78
Dhamrai,Savar,26
Dhamrai,Shahbagh,76
Dhamrai,Technical,76
Dhamrai,Victoria Park,113
Dhanmondi,Agargaon,10
Dhanmondi,Bekali Hotel,22
Dhanmondi,Bisila,16
Dhanmondi,Dakeswari Temple,11
Dhanmondi,Duaripara,26
Dhanmondi,Ghatachar,19
Dhanmondi,Gulistan,15
Dhanmondi,Hanif Flyover,18
Dhanmondi,Jigatola,10
Dhanmondi,Kachpur,33
Dhanmondi,Kazipara,15
Dhanmondi,Madanpur,40
Dhanmondi,Mirpur 11.5,22
Dhanmondi,Mirpur-10,18
Dhanmondi,Mirpur-11,20
Dhanmondi,Mirpur-12,24
Dhanmondi,Mohammadpur,13
Dhanmondi,Press Club,13
Dhanmondi,Rayerbag,22
Dhanmondi,Science Lab,10
Dhanmondi,Shahbag,11
Dhanmondi,Shankor,10
Dhanmondi,Shewra Para,14
Dhanmondi,Shonir Akhra,22
Dhanmondi,Shyamoli,10
Dhanmondi,Sonargaon,79
Dhanmondi,Sukrabad,10
Dhanmondi-15,Azimpur,10
Dhanmondi-15,Basabo,22
Dhanmondi-15,Bosila,10
Dhanmondi-15,Dhaka City College,10
Dhanmondi-15,Dhopekhola,22
Dhanmondi-15,Ghatachar,19
Dhanmondi-15,Gulistan,10
Dhanmondi-15,Jigatola,10
Dhanmondi-15,Kamlapur,13
Dhanmondi-15,Khilgaon Khidma Hospital,28
Dhanmondi-15,Khilgaon Railgate,24
Dhanmondi-15,Mohammadpur,10
Dhanmondi-15,Motijhil,10
Dhanmondi-15,Mugda,19
Dhanmondi-15,New Market,10
Dhanmondi-15,Nilkhet,10
Dhanmondi-15,Science Lab,10
Dhanmondi-15,Shahbag,10
Dhanmondi-15,Shankor,10
Dhaor,Abdullahpur,12
Dhaor,Airport,21
Dhaor,Asadgate,42
Dhaor,Asholia (Fantasy Kingdom),10
Dhaor,Badda,42
Dhaor,Baipail,29
Dhaor,Bangabandhu Avenue,46
Dhaor,Basabo,55
Dhaor,Bosila Bridge,49
Dhaor,Chandra,82
Dhaor,Diayabari Moor,22
Dhaor,Eastern Housing,23
Dhaor,Epijed,33
Dhaor,Fantasy,24
Dhaor,Ghatachar,62
Dhaor,Housing Building,15
Dhaor,Jatrabari,69
Dhaor,Jirab,10
Dhaor,Jirani,42
Dhaor,Kakrail,40
Dhaor,Kamarpara,10
Dhaor,Khilkhet,26
Dhaor,Kuril Bishwaroad,28
Dhaor,Majar Road,24
Dhaor,Malibagh,52
Dhaor,Maniknagar,60
Dhaor,Mirpur-1,33
Dhaor,Mirpur-10,37
Dhaor,Mirpur-14,40
Dhaor,Mohammadpur Stand,47
Dhaor,Mouchak,30
Dhaor,Nandan Park,44
Dhaor,Notun Bazar,36
Dhaor,Priyangon Gate,31
Dhaor,Rampura,47
Dhaor,Sadarghat Victoria,56
Dhaor,Sainboard,75
Dhaor,Sayedabad,66
Dhaor,Shyamoli,40
Dhaor,Technical,30
Dhaor,Uttara Diayabari,22
Dhaor Bridge,Abdullahpur,10
Dhaor Bridge,Abul Hotel,46
Dhaor Bridge,Airport,10
Dhaor Bridge,Azimpur,10
Dhaor Bridge,Babu Bazar Bridge,62
Dhaor Bridge,Fulbaria,58
Dhaor Bridge,Kuril Bishwaroad,20
Dhaor Bridge,Malibagh,57
Dhaor Bridge,Middle Badda,37
Dhaor Bridge,Mouchak,52
Dhaor Bridge,Notun Bazar,30
Dhaor Bridge,Palton,62
Dhaor Bridge,Rajmoni,62
Dhaor Bridge,TV Centre,43
Dhaor Moor,Asadgate,62
Dhaor Moor,Diayabari (Beribadh),30
Dhaor Moor,Jirab,10
Dhaor Moor,Kamaranjirchar (Beribadh),96
Dhaor Moor,Kashem Pur,34
Dhaor Moor,Konabari,60
Dhaor Moor,Mirpur-1,44
Dhaor Moor,Mohammadpur,76
Dhaor Moor,Narsimhpur,18
Dhaor Moor,Shahali Majar,33
Dhaor Moor,Technical,59
Dheleshur,Abdullahpur,65
Dheleshur,Jatrabari,11
Dheleshur,Malibagh,26
Dheleshur,Pragati Soroni,39
Dheleshur,Tongi (Bostuhara),76
Dhopekhola,Azimpur,10
Dhopekhola,Dhaka City College,20
Dhopekhola,Dhanmondi-15,22
Dhopekhola,Ghatachar,40
Dhopekhola,Jigatola,20
Dhopekhola,Mohammadpur,26
Dhopekhola,New Market,19
Dhopekhola,Nilkhet,10
Dhopekhola,Science Lab,20
Dhopekhola,Shankor,22
Dhour,Abdullahpur,22
Dhour,Agargaon,64
Dhour,Airport,32
Dhour,Asad Avenue,92
Dhour,Asadgate,60
Dhour,Asholia,10
Dhour,Ati Bazar,71
Dhour,Azimpur,70
Dhour,Badda,42
Dhour,Banani,47
Dhour,Bochila,99
Dhour,Epijed,33
Dhour,Fantasy Kingdom,24
Dhour,Farmgate,55
Dhour,Gabtoli,68
Dhour,ISBI Chattar,39
Dhour,Japan Garden City,72
Dhour,Jasimuddin,22
Dhour,Kachpur,56
Dhour,Kakoli,43
Dhour,Kalabagan,60
Dhour,Kallshi,45
Dhour,Kalyanpur,69
Dhour,Kamarpara,12
Dhour,Khamarbari,60
Dhour,Kuril,30
Dhour,Kurmitola General Hospital,29
Dhour,Madanpur,88
Dhour,Meradiya Bazar,48
Dhour,Mirpur-1,66
Dhour,Mirpur-10,65
Dhour,Mirpur-11,64
Dhour,Mirpur-12,38
Dhour,Mirpur-14,42
Dhour,Mirpur-2,66
Dhour,Mohakhali,47
Dhour,Mohammadpur,65
Dhour,Mohammadpur Shia Mosque,62
Dhour,Nabinagar,111
Dhour,Nabinagar (Savar),26
Dhour,Nandan Park,44
Dhour,New Market,65
Dhour,Original Dash,43
Dhour,Original-10,60
Dhour,Proshika Moor,60
Dhour,Purabi,58
Dhour,Rampura Bridge,49
Dhour,Savar,99
Dhour,Shaoda Bazar,37
Dhour,Shewra Bazar,32
Dhour,Shewra Para,60
Dhour,Shigomela,57
Dhour,Shyamoli,72
Dhour,Shyamoli Ring Road,69
Dhour,Staff Quarter,50
Dhour,Sultana Kamal Bridge,56
Dhour,Tarabo Bishwa Road,60
Dhour,Technical,66
Dhour,Uttara,20
Dhour,Zillur Rahman Flyover,41
Diayabari,Abdullahpur (Jilkhana),68
Diayabari,Airport,10
Diayabari,Babu Bazar,50
Diayabari,Badda,26
Diayabari,Bhawar Viti (South Keraniganj),76
Diayabari,Chunakutia Bazar,57
Diayabari,Gulistan (Fulbaria),46
Diayabari,Housing Building,10
Diayabari,Kadamtoli,56
Diayabari,Kakrail,38
Diayabari,Khilkhet,18
Diayabari,Kuril Bishwaroad,20
Diayabari,Malibagh,35
Diayabari,Mouchak (Flyover),35
Diayabari,Notun Bazar,24
Diayabari,Palton,42
Diayabari,Rajendrapur Bazar,65
Diayabari,Rampura,31
Diayabari (Beribadh),Asadgate,19
Diayabari (Beribadh),Dhaor Moor,30
Diayabari (Beribadh),Jirab,26
Diayabari (Beribadh),Kamaranjirchar (Beribadh),46
Diayabari (Beribadh),Kashem Pur,66
Diayabari (Beribadh),Konabari,92
Diayabari (Beribadh),Mirpur-1,10
Diayabari (Beribadh),Mohammadpur,23
Diayabari (Beribadh),Narsimhpur,55
Diayabari (Beribadh),Shahali Majar,10
Diayabari (Beribadh),Technical,15
Diayabari Moor,Abdullahpur,36
Diayabari Moor,Asadgate,18
Diayabari Moor,Bosila Bridge,28
Diayabari Moor,Dhaor,22
Diayabari Moor,Ghatachar,45
Diayabari Moor,Housing Building,40
Diayabari Moor,Kamarpara,29
Diayabari Moor,Majar Road,10
Diayabari Moor,Mirpur-1,10
Diayabari Moor,Mohammadpur Stand,22
Diayabari Moor,Shyamoli,16
Diayabari Moor,Technical,10
Diayabari Moor,Uttara Diayabari,40
Duaripara,Agargaon,19
Duaripara,Ansarcamp,11
Duaripara,Asadgate,22
Duaripara,Bekali Hotel,10
Duaripara,Buet,39
Duaripara,Dakeswari Temple,39
Duaripara,Dhanmondi,26
Duaripara,Gulistan,46
Duaripara,Kazipara,11
Duaripara,Mirpur 11.5,10
Duaripara,Mirpur Thana,10
Duaripara,Mirpur-1,10
Duaripara,Mirpur-10,10
Duaripara,Mirpur-11,10
Duaripara,Mirpur-12,10
Duaripara,Proshika,10
Duaripara,Science Lab,26
Duaripara,Shewra Para,13
Duaripara,Sukrabad,29
Duaripara,Technical,16
Eastern Housing,Baipail,65
Eastern Housing,Chandra,100
Eastern Housing,Dhaor,23
Eastern Housing,Epijed,61
Eastern Housing,Fantasy,46
Eastern Housing,Jirab,34
Eastern Housing,Jirani,97
Eastern Housing,Mirpur-1,12
Eastern Housing,Mirpur-10,16
Eastern Housing,Mirpur-14,22
Eastern Housing,Nandan Park,61
Eastern Housing,Priyangon Gate,10
Eden College,Gulistan,13
Eden College,Jatrabari,21
Eden College,Meghna Ghat,80
Eden College,Palashi,10
Eden College,Shahbagh,10
Eden College,Shonir Akhra,25
Epijed,Asadgate,86
Epijed,Asholia,25
Epijed,Baipail,10
Epijed,Bangladesh Bank,93
Epijed,Banglamotor,96
Epijed,Basabo,85
Epijed,Bonshree,128
Epijed,Chandra,31
Epijed,College Gate,70
Epijed,Demra,149
Epijed,Dhaor,33
Epijed,Dhour,33
Epijed,Eastern Housing,61
Epijed,Fantasy,10
Epijed,Fantasy Kingdom,10
Epijed,Farmgate,99
Epijed,Gabtoli,68
Epijed,Gulistan,96
Epijed,Hemayetpur,47
Epijed,ISBI Chattar,92
Epijed,Jamuna Future Park,109
Epijed,Janpath,82
Epijed,Jatrabari,106
Epijed,Jirab,20
Epijed,Jirani,22
Epijed,Kachpur,159
Epijed,Kallshi,80
Epijed,Kalyanpur,69
Epijed,Kuril,96
Epijed,Link Road,110
Epijed,Madanpur,169
Epijed,Malibagh,89
Epijed,Meradiya Bazar,138
Epijed,Mirpur-1,70
Epijed,Mirpur-10,90
Epijed,Mirpur-14,96
Epijed,Mirpur-2,75
Epijed,Moghbazar,94
Epijed,Motijheel,89
Epijed,Nabinagar,32
Epijed,Nandan Park,28
Epijed,Narayanganj Link Road,116
Epijed,Palton,96
Epijed,Press Club,83
Epijed,Priyangon Gate,65
Epijed,Rampura Bridge,121
Epijed,Sadarghat,102
Epijed,Sainboard,120
Epijed,Savar,32
Epijed,Sayedabad,98
Epijed,Science Lab,88
Epijed,Shahbagh,98
Epijed,Shonir Akhra,112
Epijed,Shyamoli,51
Epijed,Technical,69
Epijed,Tikatuli,93
Epijed,Vashantek,87
Epijed,Zippo,87
Fakirapool,Asadgate,22
Fakirapool,Bangladesh Bank,10
Fakirapool,Banglamotor,10
Fakirapool,Bosila,26
Fakirapool,Bosila Sinengi Stand,22
Fakirapool,Dayaganj Road,10
Fakirapool,Demra Staff Quarter,10
Fakirapool,Farmgate,10
Fakirapool,Ghatachar,32
Fakirapool,Gwashpur,29
Fakirapool,Kajla,10
Fakirapool,Kakoli,18
Fakirapool,Kakrail,10
Fakirapool,Kallshi Moor,29
Fakirapool,Kamlapur (Pirojganj Mazar),10
Fakirapool,Kawran Bazar,10
Fakirapool,Konapara,10
Fakirapool,Maktsa Bhaban,10
Fakirapool,Malibagh,10
Fakirapool,Moghbazar,10
Fakirapool,Moh. Zillur Rahman Flyover,21
Fakirapool,Mohakhali,10
Fakirapool,Mohammadpur (Bosila Road),20
Fakirapool,Mohammadpur (Japan Garden City),26
Fakirapool,Mohammadpur Bus Stand,17
Fakirapool,Motijhil (Notre Dame College),10
Fakirapool,Motijhil (Tiratail),10
Fakirapool,Original Dash,40
Fakirapool,Postogola,12
Fakirapool,Purabi,40
Fakirapool,Satorasta,10
Fakirapool,Science Lab,18
Fakirapool,Shahbag,16
Fakirapool,Shyalbari,46
Fakirapool,Shyamoli,22
Fakirapool,Tikatuli,10
Fakirapool,Town Hall,14
Fantasy,Baipail,10
Fantasy,Chandra,62
Fantasy,Dhaor,24
Fantasy,Eastern Housing,46
Fantasy,Epijed,10
Fantasy,Jirab,10
Fantasy,Jirani,42
Fantasy,Mirpur-1,69
Fantasy,Mirpur-10,69
Fantasy,Mirpur-14,69
Fantasy,Nandan Park,22
Fantasy,Priyangon Gate,69
Fantasy Kingdom,Abdullahpur,31
Fantasy Kingdom,Airport,46
Fantasy Kingdom,Asholia,16
Fantasy Kingdom,Banani,65
Fantasy Kingdom,Bijoy Nagar,90
Fantasy Kingdom,Dhour,24
Fantasy Kingdom,Epijed,10
Fantasy Kingdom,Gulistan (Hanif Flyover),95
Fantasy Kingdom,House Building,45
Fantasy Kingdom,Jatrabari,100
Fantasy Kingdom,Kakrail,85
Fantasy Kingdom,Kamarpara,31
Fantasy Kingdom,Mirpur-1,61
Fantasy Kingdom,Mirpur-10,61
Fantasy Kingdom,Mirpur-14,66
Fantasy Kingdom,Moghbazar,80
Fantasy Kingdom,Mohakhali,69
Fantasy Kingdom,Mouchak,83
Fantasy Kingdom,Nandan Park,31
Fantasy Kingdom,Nilkhet,55
Fantasy Kingdom,Palton,92
Fantasy Kingdom,Sainboard,113
Fantasy Kingdom,Satorasta,80
Fantasy Kingdom,Shewra,62
Farmgate,Abdullahpur,43
Farmgate,Agargaon,10
Farmgate,Airport,30
Farmgate,Ansarcamp,16
Farmgate,Aramabag,15
Farmgate,Asad Gate,10
Farmgate,Asadgate,10
Farmgate,Ati Bazar,20
Farmgate,Azampur,35
Farmgate,Azimpur,36
Farmgate,Babu Bazar Bridge,22
Farmgate,Badda Link Road,18
Farmgate,Baipail,51
Farmgate,Baluhat,10
Farmgate,Bangabandhu College,26
Farmgate,Bangla Motor,10
Farmgate,Bangladesh Bank,20
Farmgate,Banglamotor,10
Farmgate,Basabo,17
Farmgate,Bashundra,22
Farmgate,Bekali Hotel,20
Farmgate,Bezgaon Choirasta,60
Farmgate,Bijoy Shoroni,10
Farmgate,Bijoy Smroni,10
Farmgate,Bishwaroad,22
Farmgate,Bochila,15
Farmgate,Bosila,17
Farmgate,Bosila Sinengi Stand,14
Farmgate,Cantonment Signal Gate,15
Farmgate,Chashada Buss Stand,38
Farmgate,Chidriyakhana,22
Farmgate,Chiriyakhana,25
Farmgate,Chun Kutia,22
Farmgate,City College,10
Farmgate,College Gate,10
Farmgate,Dainik Bangla,13
Farmgate,Darussalam,16
Farmgate,Demra Staff Quarter,40
Farmgate,Dhakeshwari Etimkhana,40
Farmgate,Dhamrai,70
Farmgate,Dhour,55
Farmgate,Epijed,99
Farmgate,Fakirapool,10
Farmgate,Fulbaria,14
Farmgate,Gabtoli,40
Farmgate,Ghatachar,22
Farmgate,Golapshah Majar,22
Farmgate,Golapshah Mazar (Fulbaria),16
Farmgate,Gulistan,23
Farmgate,Gulshan-1,16
Farmgate,Gulshan-2,10
Farmgate,Gwashpur,19
Farmgate,Hemayetpur,49
Farmgate,Housing Building,41
Farmgate,ISBI Chattar,20
Farmgate,Ikuria,32
Farmgate,Ittifaq,19
Farmgate,Janpath,26
Farmgate,Jatrabari,42
Farmgate,Kachpur Bridge,48
Farmgate,Kajla,10
Farmgate,Kakoli,16
Farmgate,Kakrail,12
Farmgate,Kalapani,26
Farmgate,Kallshi,26
Farmgate,Kallshi Mor,22
Farmgate,Kalyanpur,16
Farmgate,Kamarpara,43
Farmgate,Kamlapur,80
Farmgate,Kamlapur Station,23
Farmgate,Kawran Bazar,10
Farmgate,Kawranbazar,10
Farmgate,Kazipara,13
Farmgate,Keraniganj,36
Farmgate,Keraniganj (New Jail),65
Farmgate,Keraniganj (Notun Jela Khana),32
Farmgate,Khilgaon Flyover,10
Farmgate,Khilkhet,26
Farmgate,Kochukhet,13
Farmgate,Konapara,16
Farmgate,Kuril Bishwa Road,26
Farmgate,Kuril Bishwaroad,25
Farmgate,Link Road,32
Farmgate,Maktsa Bhaban,10
Farmgate,Malibagh,16
Farmgate,Manik Mia,10
Farmgate,Maoyghat,101
Farmgate,Matsabhaban,12
Farmgate,Mawa Ferry Ghat,101
Farmgate,Mayor Mohd Hanif Flyover,10
Farmgate,Meradiya Bazar,23
Farmgate,Middle Badda,18
Farmgate,Mirpur (Chiriyakhana),22
Farmgate,Mirpur DOHS,29
Farmgate,Mirpur Rupnagar,25
Farmgate,Mirpur-1,22
Farmgate,Mirpur-10,19
Farmgate,Mirpur-11,19
Farmgate,Mirpur-11 3/2,21
Farmgate,Mirpur-12,30
Farmgate,Mirpur-14,16
Farmgate,Mirpur-2,16
Farmgate,Moghbazar,12
Farmgate,Mohakhali,12
Farmgate,Mohammadpur,10
Farmgate,Mohammadpur (Bosila Road),10
Farmgate,Mohammadpur Bus Stand,10
Farmgate,Motijheel,23
Farmgate,Motijhil (Notre Dame College),10
Farmgate,Motijhil (Tiratail),10
Farmgate,Mouchak,11
Farmgate,Mugda,10
Farmgate,Nabinagar,95
Farmgate,Nandan Park,101
Farmgate,Narayanganj,52
Farmgate,Narayanganj Link Road,68
Farmgate,Narsha,25
Farmgate,Nayabazar (2nd Buriganga Bridge),26
Farmgate,New Airport,29
Farmgate,New Market,10
Farmgate,Nilkhet,22
Farmgate,Notre Dame College,10
Farmgate,Notun Bazar,21
Farmgate,Pallabi (Ceramic),22
Farmgate,Pallabi (Mirpur-12),22
Farmgate,Palton,20
Farmgate,Pirojgaji Majar,24
Farmgate,Postogola Bridge,27
Farmgate,Press Club,16
Farmgate,Rai Saheb Bazar,17
Farmgate,Rajarbag,10
Farmgate,Rajlakhi,33
Farmgate,Rampura,16
Farmgate,Sainboard,66
Farmgate,Savar,60
Farmgate,Sayedabad,35
Farmgate,Science Lab,10
Farmgate,Shahbag,10
Farmgate,Shahbagh,10
Farmgate,Shapla Chattar,14
Farmgate,Shewra Para,12
Farmgate,Shonir Akhra,46
Farmgate,Shyamoli,15
Farmgate,Stadium,17
Farmgate,Staffroad,21
Farmgate,TITI,13
Farmgate,Tati Bazar,15
Farmgate,Technical,16
Farmgate,Tikatuli,28
Farmgate,Titumi'r College,10
Farmgate,Tongi,53
Farmgate,Town Hall,10
Farmgate,UBL,13
Farmgate,Uttara,39
Farmgate,Victoria Park,56
Farmgate,Work Shop,10
Farmgate,Zippo,22
Fulbaria,Abdullahpur,58
Fulbaria,Abul Hotel,11
Fulbaria,Agla Bazar,61
Fulbaria,Airport,45
Fulbaria,Asadgate,26
Fulbaria,Azimpur,62
Fulbaria,Babu Bazar Bridge,14
Fulbaria,Bagher Bazar,59
Fulbaria,Bagmara,76
Fulbaria,Baipail,58
Fulbaria,Bajonpar,71
Fulbaria,Bakhyakhali,107
Fulbaria,Banani,10
Fulbaria,Bandura,86
Fulbaria,Barmi,80
Fulbaria,Baupra,83
Fulbaria,Beribadh,100
Fulbaria,Bishwaroad,22
Fulbaria,Chandra,131
Fulbaria,Chankharpul,10
Fulbaria,Chidriyakhana,40
Fulbaria,Chiriyakhana,35
Fulbaria,Chun Kutia,10
Fulbaria,Dhamrai,103
Fulbaria,Dhaor Bridge,58
Fulbaria,Farmgate,14
Fulbaria,Gabtoli,30
Fulbaria,Gazipur,102
Fulbaria,Gazipur Chowrasta,69
Fulbaria,High Court,10
Fulbaria,Hotapara,52
Fulbaria,Jagannath University,10
Fulbaria,Jinjira,10
Fulbaria,Kadamtoli,20
Fulbaria,Kakoli,25
Fulbaria,Kakrail,10
Fulbaria,Kalabagan,16
Fulbaria,Kamarpara,45
Fulbaria,Kapasia,56
Fulbaria,Keraniganj (New Jail),46
Fulbaria,Keraniganj (Notun Jela Khana),10
Fulbaria,Khaiysyakhali Beribadh,92
Fulbaria,Kharattar,56
Fulbaria,Khasia Khali Beribadh,117
Fulbaria,Komarganaj,80
Fulbaria,Konaakhola,20
Fulbaria,Konabari,104
Fulbaria,Kopakhola Bazar,21
Fulbaria,Kuril Bishwaroad,30
Fulbaria,Malibagh,10
Fulbaria,Manikganj,159
Fulbaria,Maona Chowrasta,61
Fulbaria,Mashir Kanda,79
Fulbaria,Middle Badda,19
Fulbaria,Mirpur-1,38
Fulbaria,Moghbazar,12
Fulbaria,Mohakhali,22
Fulbaria,Mouchak,10
Fulbaria,Muktivaban,10
Fulbaria,Nabisco,10
Fulbaria,Naya Bazar,11
Fulbaria,Nayabazar,10
Fulbaria,Nilkhet,22
Fulbaria,Nobabganj,77
Fulbaria,Notun Bazar,24
Fulbaria,Palton,10
Fulbaria,Paturiya,226
Fulbaria,Press Club,10
Fulbaria,Rajabari,51
Fulbaria,Rajendrapur,41
Fulbaria,Rajendrapur Bazar,49
Fulbaria,Rajendrapur Chowrasta,41
Fulbaria,Rajmoni,10
Fulbaria,Ramer Kanda,31
Fulbaria,Ruhitpur,26
Fulbaria,Saydpur,39
Fulbaria,Science Lab,22
Fulbaria,Shahbag,10
Fulbaria,Shahbagh,10
Fulbaria,Shyamoli,26
Fulbaria,Sifipur,120
Fulbaria,Sreepur,70
Fulbaria,Staffroad,22
Fulbaria,Suroganj,74
Fulbaria,TV Centre,14
Fulbaria,Tati Bazar,10
Fulbaria,Technical,32
Fulbaria,Tikarpur,59
Fulbaria,Tikkarpur,28
Fulbaria,Tingi,64
Fulbaria,Tongi,61
Gabtoli,Abdullahpur,47
Gabtoli,Agargaon,10
Gabtoli,Airport,39
Gabtoli,Amin Bazar,10
Gabtoli,Amuliya Staff Quarter,72
Gabtoli,Asad Gate,10
Gabtoli,Asadgate,23
Gabtoli,Azimpur,38
Gabtoli,Azimpur (Dakeswari),22
Gabtoli,Babu Bazar Bridge,56
Gabtoli,Bangladesh Bank,24
Gabtoli,Banglamotor,30
Gabtoli,Baniajuri,128
Gabtoli,Barangail,148
Gabtoli,Basabo,28
Gabtoli,Bezgaon Choirasta,95
Gabtoli,Bokshi Bazar,48
Gabtoli,Bonshree,74
Gabtoli,Bonshree (Meradiya),29
Gabtoli,Chankharpul,46
Gabtoli,College Gate,10
Gabtoli,Demra,95
Gabtoli,Demra Bridge,80
Gabtoli,Demra Staff Quarter,62
Gabtoli,Dhamrai,74
Gabtoli,Dhour,68
Gabtoli,Epijed,68
Gabtoli,Farmgate,40
Gabtoli,Fulbaria,30
Gabtoli,Golapshah Majar,52
Gabtoli,Gulistan,44
Gabtoli,Gulshan-1,57
Gabtoli,Hanif Flyover,38
Gabtoli,Hemayetpur,19
Gabtoli,High Court,26
Gabtoli,ISBI Chattar,42
Gabtoli,Islampur,56
Gabtoli,Jamuna Future Park,60
Gabtoli,Janpath,46
Gabtoli,Jatrabari,67
Gabtoli,Jirani Bazar,68
Gabtoli,Kachpur,107
Gabtoli,Kakrail,41
Gabtoli,Kalabagan,26
Gabtoli,Kalampur,88
Gabtoli,Kallshi,31
Gabtoli,Kalshi Moor,29
Gabtoli,Kalyanpur,10
Gabtoli,Kamarpara,57
Gabtoli,Kamlapur,73
Gabtoli,Khilgaon Flyover,11
Gabtoli,Kuril,52
Gabtoli,Kuril Bishwa Road,46
Gabtoli,Link Road,40
Gabtoli,Madanpur,115
Gabtoli,Malibagh,29
Gabtoli,Manikganj,104
Gabtoli,Maoyghat,135
Gabtoli,Matsabhaban,33
Gabtoli,Meradiya (New Road),49
Gabtoli,Meradiya Bazar,80
Gabtoli,Mirpur-1,10
Gabtoli,Mirpur-10,17
Gabtoli,Mirpur-11,17
Gabtoli,Mirpur-14,17
Gabtoli,Mirpur-2,11
Gabtoli,Mirpur-6,14
Gabtoli,Moghbazar,28
Gabtoli,Mohakhali,31
Gabtoli,Mohammadpur,10
Gabtoli,Motijheel,55
Gabtoli,Mouchak,48
Gabtoli,Mugda,16
Gabtoli,Muktivaban,26
Gabtoli,Nabinagar,65
Gabtoli,Nandan Park,88
Gabtoli,Narayanganj Charahata,90
Gabtoli,Narayanganj Link Road,90
Gabtoli,New Market,35
Gabtoli,Notun Bazar,62
Gabtoli,Original-10,11
Gabtoli,Palashi,30
Gabtoli,Palton,42
Gabtoli,Paturia,182
Gabtoli,Paturiya,196
Gabtoli,Press Club,40
Gabtoli,Proshika Moor,11
Gabtoli,Rajarbag,10
Gabtoli,Rampura,60
Gabtoli,Rampura (Bonshree),48
Gabtoli,Rampura Bridge,66
Gabtoli,Sadarghat,39
Gabtoli,Sainboard,88
Gabtoli,Savar,35
Gabtoli,Sayedabad,65
Gabtoli,Science Lab,23
Gabtoli,Shahbag,46
Gabtoli,Shahbagh,35
Gabtoli,Shaoda Bazar,27
Gabtoli,Shonir Akhra,71
Gabtoli,Shyamoli,10
Gabtoli,Staff Quarter,77
Gabtoli,Technical,10
Gabtoli,Tikatuli,56
Gabtoli,Uthulli,155
Gabtoli,Vashantek,22
Gabtoli,Victoria Park,69
Gabtoli,Zillur Rahman Flyover,30
Gabtoli,Zippo,52
Gabtoli Bridge Para,Abdullahpur,40
Gabtoli Bridge Para,Airport,35
Gabtoli Bridge Para,Badda Link Road/Middle Badda,52
Gabtoli Bridge Para,Gazipur,60
Gabtoli Bridge Para,Gulshan-1,46
Gabtoli Bridge Para,ISBI Chattar,29
Gabtoli Bridge Para,Kakoli,36
Gabtoli Bridge Para,Kallshi,28
Gabtoli Bridge Para,Kallshi Mor,20
Gabtoli Bridge Para,Khilkhet,31
Gabtoli Bridge Para,Meradiya Bazar,65
Gabtoli Bridge Para,Mirpur-1,10
Gabtoli Bridge Para,Mirpur-10,16
Gabtoli Bridge Para,Mirpur-11,16
Gabtoli Bridge Para,Mirpur-2,12
Gabtoli Bridge Para,Mohakhali Amtoli,42
Gabtoli Bridge Para,Purabi,17
Gabtoli Bridge Para,Technical,10
Gausia/Chidanichak,Azimpur,10
Gausia/Chidanichak,Bosila,18
Gausia/Chidanichak,Bosila Sinengi Stand,15
Gausia/Chidanichak,Chankharpul,10
Gausia/Chidanichak,Ghatachar,23
Gausia/Chidanichak,Gwashpur,20
Gausia/Chidanichak,Kalabagan,10
Gausia/Chidanichak,Mohammadpur (Bosila Road),11
Gausia/Chidanichak,Mohammadpur Bus Stand,10
Gausia/Chidanichak,Pagla Bazar,12
Gausia/Chidanichak,Postogola,10
Gausia/Chidanichak,Science Lab,10
Gausia/Chidanichak,Sobhanbag,10
Gausia/Chidanichak,Town Hall,10
Gazipur,Abdullahpur,14
Gazipur,Airport,64
Gazipur,Board Bazar,32
Gazipur,Chandra,56
Gazipur,Cherag Ali,42
Gazipur,Chowrasta,22
Gazipur,Fulbaria,102
Gazipur,Gabtoli Bridge Para,60
Gazipur,Gazipur Chowrasta,32
Gazipur,Jagannath University,80
Gazipur,Kakoli,63
Gazipur,Kakrail,97
Gazipur,Kallshi Mor,43
Gazipur,Khilkhet,32
Gazipur,Konabari,29
